applicant_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,loan_status
48,Female,No,1,Not Graduate,Yes,12466,8963,197,120,1,Rural,Approved
49,Male,Yes,2,Not Graduate,Yes,13024,2428,142,360,0,Semiurban,Rejected
50,Female,No,1,Graduate,Yes,6798,3415,58,240,0,Semiurban,Approved
51,Female,Yes,2,Graduate,Yes,4558,843,388,300,1,Urban,Approved
52,Female,Yes,3,Not Graduate,Yes,10683,7717,216,120,0,Rural,Rejected
53,Female,Yes,3,Not Graduate,No,1709,613,96,360,1,Semiurban,Approved
54,Male,No,0,Graduate,Yes,4980,7435,247,360,0,Rural,Rejected
55,Male,No,1,Not Graduate,No,9350,7556,131,240,1,Urban,Approved
56,Female,Yes,1,Not Graduate,Yes,2352,6410,412,180,0,Semiurban,Approved
57,Female,No,2,Not Graduate,No,13839,1087,369,300,1,Urban,Approved
58,Female,Yes,2,Not Graduate,No,3107,8769,399,360,1,Urban,Approved
59,Female,No,0,Not Graduate,Yes,14163,1690,311,240,0,Semiurban,Rejected
60,Female,No,2,Graduate,Yes,11793,2005,177,300,0,Urban,Rejected
61,Male,No,0,Graduate,No,3903,1867,66,120,0,Semiurban,Approved
62,Male,Yes,3,Not Graduate,Yes,8527,6666,488,240,1,Urban,Approved
63,Male,No,0,Graduate,No,9440,5581,175,180,0,Rural,Approved
64,Male,No,2,Graduate,No,11642,6285,346,300,0,Urban,Approved
65,Male,Yes,2,Graduate,Yes,9330,1533,334,300,1,Urban,Approved
66,Male,Yes,1,Not Graduate,No,2237,7595,458,240,1,Semiurban,Rejected
67,Male,No,1,Graduate,No,14783,7603,56,300,1,Rural,Approved
68,Female,No,2,Graduate,Yes,2794,174,315,120,0,Rural,Rejected
69,Female,Yes,2,Graduate,Yes,8852,2769,120,240,1,Rural,Approved
70,Male,Yes,3,Not Graduate,Yes,2258,4516,173,240,1,Semiurban,Rejected
71,Male,No,0,Not Graduate,Yes,1964,5240,343,300,0,Semiurban,Rejected
72,Male,Yes,1,Not Graduate,Yes,7517,8812,348,300,1,Rural,Approved
73,Male,Yes,1,Graduate,Yes,5575,7859,207,300,0,Urban,Approved
74,Male,Yes,1,Graduate,Yes,6608,26,255,300,1,Rural,Approved
75,Male,Yes,1,Graduate,Yes,7895,7148,97,240,1,Urban,Approved
76,Female,Yes,2,Not Graduate,No,11738,9861,485,120,0,Rural,Approved
77,Female,No,1,Not Graduate,No,14024,5414,59,180,0,Urban,Approved
78,Male,Yes,2,Graduate,No,9454,4241,486,240,1,Rural,Approved
79,Female,No,1,Graduate,Yes,11829,1326,407,180,1,Rural,Approved
80,Female,Yes,1,Not Graduate,Yes,9275,8842,216,240,0,Urban,Approved
81,Male,No,1,Not Graduate,No,11777,8200,138,300,1,Urban,Approved
82,Male,No,2,Graduate,No,14284,7377,381,180,0,Semiurban,Approved
83,Female,Yes,0,Not Graduate,No,8911,6436,463,240,0,Rural,Approved
84,Female,Yes,0,Not Graduate,Yes,12520,2534,392,180,0,Urban,Rejected
85,Female,Yes,1,Not Graduate,Yes,11999,6530,403,180,1,Urban,Approved
86,Female,No,3,Not Graduate,Yes,14764,9996,233,300,0,Rural,Rejected
87,Male,Yes,0,Not Graduate,No,3308,70,303,300,1,Urban,Approved
88,Female,Yes,3,Not Graduate,Yes,11081,2416,317,120,0,Semiurban,Approved
89,Male,No,0,Not Graduate,Yes,12640,3561,443,240,1,Urban,Approved
90,Male,No,1,Graduate,No,2390,5010,223,300,1,Urban,Approved
91,Male,Yes,0,Graduate,Yes,12753,9061,184,120,0,Urban,Approved
92,Male,No,0,Not Graduate,Yes,3710,8799,188,300,0,Urban,Rejected
93,Female,Yes,2,Graduate,Yes,9394,2022,181,300,1,Urban,Approved
94,Female,Yes,2,Graduate,No,14455,6622,202,300,1,Urban,Approved
95,Male,Yes,1,Graduate,No,2096,3679,184,180,1,Rural,Rejected
96,Male,Yes,3,Not Graduate,Yes,4669,6593,368,360,0,Rural,Approved
97,Female,No,3,Not Graduate,Yes,1781,9076,474,180,1,Semiurban,Rejected
98,Female,No,3,Graduate,No,13327,1484,216,300,1,Urban,Approved
99,Male,No,1,Not Graduate,No,4523,5474,135,240,0,Semiurban,Rejected
100,Female,No,0,Not Graduate,Yes,4045,9996,361,120,0,Rural,Approved
101,Female,Yes,2,Not Graduate,Yes,6918,881,434,120,1,Semiurban,Approved
102,Female,Yes,1,Not Graduate,Yes,7508,1691,480,300,0,Urban,Approved
103,Male,Yes,2,Graduate,No,5384,9210,305,300,1,Rural,Approved
104,Female,Yes,1,Graduate,Yes,2589,408,444,300,0,Urban,Rejected
105,Female,Yes,1,Not Graduate,Yes,5742,1127,496,360,1,Urban,Approved
106,Male,No,0,Not Graduate,No,7277,8445,234,240,1,Semiurban,Approved
107,Female,No,1,Not Graduate,Yes,6844,7667,413,180,0,Semiurban,Rejected
108,Male,No,0,Not Graduate,Yes,9079,7539,87,300,0,Rural,Rejected
109,Male,No,3,Not Graduate,No,9713,9191,226,120,1,Urban,Approved
110,Male,Yes,2,Not Graduate,Yes,5714,6371,398,360,1,Semiurban,Approved
111,Male,No,0,Graduate,No,11431,5778,313,180,1,Semiurban,Approved
112,Male,No,1,Graduate,No,14997,4945,167,120,1,Semiurban,Approved
113,Male,No,0,Not Graduate,Yes,2609,6282,384,120,0,Rural,Rejected
114,Female,No,1,Not Graduate,No,11354,8059,206,120,0,Semiurban,Rejected
115,Female,Yes,0,Graduate,Yes,5775,5791,402,360,1,Semiurban,Approved
116,Male,Yes,0,Graduate,Yes,14352,8832,421,360,0,Urban,Rejected
117,Female,No,0,Not Graduate,No,9727,1254,295,180,1,Rural,Approved
118,Male,Yes,0,Not Graduate,Yes,5866,3021,176,360,1,Semiurban,Approved
119,Female,No,0,Not Graduate,No,9985,2411,337,240,0,Urban,Approved
120,Female,No,1,Graduate,Yes,12312,4190,390,360,0,Urban,Rejected
121,Male,Yes,3,Graduate,Yes,3599,6767,212,180,0,Urban,Rejected
122,Female,Yes,1,Not Graduate,No,11686,5912,423,180,1,Urban,Approved
123,Male,No,3,Not Graduate,Yes,2632,2730,380,180,1,Semiurban,Rejected
124,Female,Yes,1,Graduate,No,1807,5166,102,240,1,Rural,Approved
125,Female,Yes,3,Not Graduate,No,8186,5685,99,240,0,Rural,Approved
126,Male,Yes,3,Not Graduate,No,8377,3814,280,180,0,Rural,Approved
127,Male,No,1,Not Graduate,No,8029,8315,167,120,1,Rural,Approved
128,Female,Yes,1,Graduate,No,2519,9808,289,240,1,Urban,Approved
129,Male,No,3,Graduate,No,9656,4962,227,300,0,Semiurban,Approved
130,Male,No,3,Not Graduate,Yes,13112,4806,67,180,0,Urban,Rejected
131,Female,No,2,Not Graduate,Yes,14535,1784,327,180,1,Semiurban,Approved
132,Male,Yes,2,Not Graduate,Yes,5502,2163,232,180,0,Semiurban,Approved
133,Female,Yes,1,Not Graduate,Yes,7021,6866,207,180,1,Urban,Approved
134,Male,No,3,Graduate,Yes,14773,8890,479,360,0,Semiurban,Approved
135,Female,Yes,2,Graduate,No,9844,9403,447,240,1,Rural,Approved
136,Male,Yes,3,Not Graduate,No,8650,1951,326,360,0,Urban,Rejected
137,Male,No,3,Not Graduate,Yes,10712,167,468,120,1,Semiurban,Approved
138,Female,No,1,Graduate,Yes,12845,8842,346,180,0,Semiurban,Rejected
139,Male,No,3,Not Graduate,No,11348,3126,64,120,0,Semiurban,Rejected
140,Male,Yes,3,Not Graduate,Yes,6979,9922,313,360,0,Semiurban,Approved
141,Female,Yes,0,Graduate,Yes,2747,7320,207,120,0,Rural,Rejected
142,Female,Yes,0,Graduate,No,11293,4293,108,300,0,Rural,Approved
143,Female,Yes,0,Not Graduate,No,13876,6076,109,180,0,Urban,Rejected
144,Female,No,3,Not Graduate,Yes,3621,2304,387,120,1,Urban,Approved
145,Female,No,0,Graduate,Yes,7415,7205,299,180,0,Rural,Approved
146,Female,Yes,0,Not Graduate,Yes,2111,7550,420,120,0,Semiurban,Approved
147,Female,No,1,Not Graduate,Yes,8962,9660,252,360,0,Semiurban,Approved
148,Female,No,3,Not Graduate,No,6409,9904,301,120,0,Rural,Rejected
149,Female,Yes,0,Not Graduate,No,12665,5107,163,120,0,Semiurban,Rejected
150,Female,Yes,3,Not Graduate,No,11891,7353,135,300,0,Semiurban,Rejected
151,Female,No,1,Not Graduate,No,3242,8663,167,360,1,Urban,Approved
152,Male,No,2,Graduate,Yes,1953,9689,465,180,1,Semiurban,Rejected
153,Male,Yes,3,Not Graduate,No,9015,5234,290,180,1,Semiurban,Approved
154,Female,Yes,0,Not Graduate,No,9740,8016,171,180,0,Semiurban,Approved
155,Female,Yes,3,Not Graduate,Yes,12562,1779,189,180,1,Semiurban,Approved
156,Male,Yes,2,Graduate,No,11716,3690,456,180,1,Semiurban,Approved
157,Female,No,1,Graduate,Yes,2016,241,166,240,0,Urban,Approved
158,Female,No,3,Graduate,No,4917,5262,209,360,0,Urban,Approved
159,Male,No,2,Not Graduate,Yes,13328,223,210,300,0,Rural,Rejected
160,Male,No,0,Graduate,Yes,7456,7507,390,360,1,Semiurban,Approved
161,Male,No,1,Not Graduate,Yes,7829,3208,100,360,0,Urban,Approved
162,Female,No,2,Graduate,Yes,6692,5206,227,120,0,Rural,Approved
163,Female,No,1,Graduate,No,4356,7625,170,360,0,Urban,Approved
164,Male,Yes,3,Not Graduate,Yes,11647,4777,321,300,1,Rural,Approved
165,Female,Yes,2,Not Graduate,Yes,3130,2285,120,180,0,Urban,Approved
166,Male,No,3,Not Graduate,No,14582,1402,170,360,1,Urban,Approved
167,Female,No,3,Graduate,No,1702,9029,211,300,0,Semiurban,Approved
168,Female,Yes,3,Not Graduate,No,14613,2797,151,120,0,Urban,Approved
169,Male,Yes,3,Graduate,Yes,8138,4074,459,360,1,Rural,Approved
170,Male,Yes,0,Graduate,Yes,6082,9131,249,360,1,Urban,Approved
171,Male,Yes,3,Graduate,Yes,11064,2160,278,180,0,Semiurban,Rejected
172,Male,No,1,Graduate,Yes,9136,9125,338,240,0,Urban,Approved
173,Male,No,1,Graduate,No,3660,7702,182,180,1,Semiurban,Approved
174,Female,Yes,0,Graduate,No,3988,3439,341,300,0,Urban,Approved
175,Female,No,3,Not Graduate,Yes,8351,6039,453,180,0,Rural,Approved
176,Female,Yes,1,Not Graduate,No,13597,9639,135,180,0,Urban,Rejected
177,Male,Yes,2,Not Graduate,No,14458,8677,187,360,1,Urban,Approved
178,Male,Yes,3,Not Graduate,Yes,2080,1543,386,360,1,Semiurban,Rejected
179,Female,No,1,Not Graduate,No,8884,277,248,120,0,Semiurban,Approved
180,Female,No,3,Not Graduate,Yes,10167,676,408,120,1,Rural,Approved
181,Female,Yes,2,Not Graduate,No,9464,3185,112,120,0,Rural,Approved
182,Female,Yes,0,Not Graduate,Yes,2396,3337,475,360,0,Urban,Rejected
183,Female,Yes,1,Graduate,Yes,13005,2860,181,120,0,Semiurban,Approved
184,Female,No,2,Graduate,Yes,13782,2258,228,120,0,Rural,Approved
185,Female,Yes,3,Not Graduate,Yes,3343,2528,280,300,1,Urban,Approved
186,Female,Yes,0,Not Graduate,Yes,3637,7123,84,180,0,Urban,Approved
187,Female,Yes,0,Not Graduate,No,14116,7830,121,240,1,Semiurban,Approved
188,Female,No,2,Not Graduate,No,3887,5714,246,360,0,Rural,Approved
189,Male,Yes,2,Graduate,No,2633,2456,119,300,1,Semiurban,Rejected
190,Male,No,0,Not Graduate,No,2212,461,431,240,1,Semiurban,Rejected
191,Male,Yes,3,Not Graduate,Yes,14497,6821,220,300,0,Semiurban,Rejected
192,Female,Yes,0,Graduate,No,2810,1223,167,360,0,Rural,Approved
193,Male,No,3,Graduate,No,2798,5855,208,120,1,Semiurban,Approved
194,Male,No,1,Not Graduate,No,8414,9764,135,180,0,Semiurban,Rejected
195,Female,No,0,Not Graduate,Yes,6015,6989,426,360,1,Rural,Approved
196,Male,No,0,Graduate,Yes,5457,4251,127,300,1,Urban,Approved
197,Female,Yes,3,Not Graduate,No,5024,6632,255,120,0,Semiurban,Rejected
198,Male,No,0,Not Graduate,No,9975,5978,142,180,0,Semiurban,Rejected
199,Male,No,2,Not Graduate,No,6227,910,405,240,1,Rural,Approved
200,Male,No,3,Graduate,Yes,7922,3062,436,300,1,Urban,Approved
201,Male,Yes,1,Not Graduate,No,3243,1737,169,240,0,Rural,Approved
202,Female,Yes,0,Not Graduate,No,5090,4900,470,300,1,Semiurban,Approved
203,Male,Yes,1,Not Graduate,Yes,10872,6498,129,120,0,Rural,Approved
204,Female,No,3,Graduate,Yes,11900,2716,391,120,0,Urban,Approved
205,Female,Yes,0,Not Graduate,No,6075,980,301,300,0,Rural,Rejected
206,Male,Yes,0,Not Graduate,Yes,13779,5449,142,360,0,Urban,Rejected
207,Male,Yes,2,Graduate,No,10078,9677,225,180,1,Urban,Approved
208,Female,No,3,Not Graduate,Yes,2858,3363,442,240,0,Rural,Rejected
209,Male,Yes,0,Graduate,Yes,6275,8408,134,120,0,Urban,Approved
210,Male,No,3,Graduate,Yes,12020,710,352,300,0,Semiurban,Approved
211,Male,Yes,0,Graduate,No,1797,4978,177,120,1,Urban,Approved
212,Female,No,2,Graduate,No,4140,7734,495,360,1,Semiurban,Approved
213,Male,No,1,Graduate,Yes,7029,5953,163,360,0,Rural,Rejected
214,Male,Yes,2,Graduate,Yes,1937,5556,342,240,0,Rural,Approved
215,Female,Yes,1,Not Graduate,Yes,12802,6967,297,300,1,Rural,Approved
216,Male,No,2,Not Graduate,Yes,6563,727,260,300,0,Rural,Rejected
217,Male,Yes,3,Graduate,No,9584,4411,266,240,1,Urban,Approved
218,Female,No,3,Not Graduate,No,3856,6564,176,300,0,Rural,Rejected
219,Female,Yes,1,Not Graduate,Yes,1803,3496,193,180,0,Rural,Rejected
220,Male,Yes,0,Graduate,Yes,10582,7870,433,120,1,Urban,Approved
221,Female,Yes,3,Graduate,Yes,7120,6806,200,300,0,Semiurban,Approved
222,Female,No,0,Not Graduate,No,3344,667,63,240,0,Rural,Rejected
223,Female,No,3,Not Graduate,Yes,4260,3156,457,240,0,Urban,Approved
224,Female,No,3,Graduate,Yes,9658,8580,400,300,0,Semiurban,Rejected
225,Female,No,3,Graduate,No,6593,7164,482,240,1,Semiurban,Approved
226,Female,Yes,3,Not Graduate,Yes,1624,7846,67,360,0,Urban,Rejected
227,Male,No,1,Not Graduate,Yes,7692,9846,208,180,1,Rural,Approved
228,Female,No,0,Not Graduate,No,8364,4070,211,360,1,Urban,Approved
229,Male,No,1,Not Graduate,Yes,11169,8706,344,300,0,Semiurban,Approved
230,Male,No,1,Graduate,No,12310,5613,178,120,1,Semiurban,Approved
231,Male,Yes,2,Not Graduate,Yes,5195,5678,99,240,0,Rural,Rejected
232,Male,Yes,0,Not Graduate,No,4871,4491,143,120,1,Urban,Approved
233,Female,Yes,3,Not Graduate,No,12406,4509,303,120,1,Urban,Approved
234,Female,No,0,Graduate,No,7334,5209,448,240,0,Urban,Rejected
235,Female,No,3,Graduate,Yes,3354,5300,467,360,1,Semiurban,Approved
236,Male,Yes,3,Graduate,Yes,3169,9988,346,240,1,Urban,Approved
237,Female,Yes,3,Not Graduate,Yes,6766,3970,145,180,0,Semiurban,Rejected
238,Female,No,1,Not Graduate,No,12434,3294,201,300,1,Rural,Approved
239,Female,Yes,3,Not Graduate,Yes,14110,2146,391,180,0,Rural,Approved
240,Male,No,0,Not Graduate,No,4169,4313,368,120,0,Rural,Rejected
241,Male,No,3,Not Graduate,No,7229,413,142,360,1,Semiurban,Approved
242,Male,Yes,3,Graduate,Yes,11598,2496,131,240,0,Semiurban,Rejected
243,Female,Yes,2,Not Graduate,No,6534,3269,65,240,0,Rural,Rejected
244,Female,Yes,1,Not Graduate,No,4420,1702,241,180,0,Rural,Rejected
245,Male,Yes,1,Graduate,No,12199,5452,166,360,0,Semiurban,Approved
246,Female,Yes,0,Graduate,No,14021,3315,338,180,0,Urban,Approved
247,Female,Yes,2,Graduate,Yes,14066,8994,116,240,1,Urban,Approved
248,Female,No,2,Not Graduate,Yes,9704,8247,264,360,1,Semiurban,Approved
249,Female,Yes,0,Not Graduate,No,5540,9716,273,360,1,Rural,Approved
250,Male,Yes,0,Not Graduate,No,4434,4039,268,180,1,Rural,Approved
251,Female,Yes,1,Graduate,No,3737,5143,450,180,0,Semiurban,Rejected
252,Female,Yes,3,Not Graduate,No,5980,1296,426,180,1,Rural,Approved
253,Female,Yes,3,Graduate,No,12823,2162,375,180,1,Semiurban,Approved
254,Female,Yes,2,Graduate,Yes,6438,7681,306,180,1,Semiurban,Approved
255,Male,No,3,Not Graduate,Yes,10257,9785,493,300,1,Urban,Approved
256,Female,No,3,Graduate,No,5061,6737,364,240,1,Rural,Approved
257,Female,No,3,Not Graduate,Yes,14215,5981,278,300,1,Rural,Approved
258,Male,Yes,2,Not Graduate,No,9952,4143,331,180,0,Semiurban,Rejected
259,Male,No,2,Graduate,No,14563,4674,219,300,1,Rural,Approved
260,Female,No,2,Not Graduate,Yes,9952,845,245,180,0,Urban,Rejected
261,Female,No,2,Graduate,No,4520,3052,460,180,1,Rural,Approved
262,Male,Yes,1,Not Graduate,No,13898,9875,298,120,0,Urban,Approved
263,Male,No,1,Graduate,No,10191,3922,450,360,1,Urban,Approved
264,Male,No,3,Graduate,Yes,9894,9131,359,180,0,Urban,Approved
265,Female,Yes,2,Graduate,No,12217,5452,181,300,0,Semiurban,Rejected
266,Male,Yes,2,Graduate,Yes,12691,950,476,180,1,Urban,Approved
267,Female,No,1,Graduate,Yes,3373,2776,463,180,0,Urban,Approved
268,Male,No,1,Not Graduate,Yes,10953,3750,249,360,0,Semiurban,Rejected
269,Female,Yes,0,Not Graduate,No,8940,6781,330,240,1,Urban,Approved
270,Male,Yes,2,Not Graduate,No,2575,5684,293,180,0,Semiurban,Approved
271,Male,No,2,Graduate,Yes,4478,1689,168,240,1,Rural,Approved
272,Female,No,3,Graduate,No,4806,4928,474,120,1,Urban,Approved
273,Female,Yes,1,Graduate,Yes,11629,4176,377,240,1,Urban,Approved
274,Female,Yes,0,Not Graduate,No,4241,693,286,240,0,Urban,Approved
275,Female,No,3,Not Graduate,Yes,4999,2370,125,300,0,Rural,Approved
276,Male,Yes,1,Graduate,No,12719,2391,233,300,1,Rural,Approved
277,Male,No,1,Not Graduate,Yes,9654,5764,87,120,1,Urban,Approved
278,Male,No,1,Not Graduate,No,13566,5355,408,300,0,Urban,Approved
279,Male,No,2,Graduate,Yes,7868,5390,124,180,0,Semiurban,Approved
280,Female,No,0,Not Graduate,No,2316,1044,324,240,0,Urban,Approved
281,Female,No,1,Not Graduate,No,9959,1742,260,300,1,Rural,Approved
282,Male,Yes,2,Graduate,Yes,7883,7179,61,300,0,Semiurban,Approved
283,Male,No,1,Not Graduate,No,12707,5280,145,360,1,Urban,Approved
284,Male,Yes,2,Not Graduate,No,7108,2370,263,180,0,Urban,Rejected
285,Female,Yes,3,Not Graduate,No,12542,1215,135,240,1,Rural,Approved
286,Male,Yes,0,Graduate,Yes,8569,208,305,180,1,Semiurban,Approved
287,Male,Yes,2,Not Graduate,Yes,11704,3491,133,300,1,Rural,Approved
288,Female,No,2,Not Graduate,No,8980,4701,443,180,0,Semiurban,Approved
289,Female,No,1,Graduate,Yes,9904,5003,425,300,1,Urban,Approved
290,Female,No,2,Not Graduate,Yes,7278,6764,248,180,1,Rural,Approved
291,Male,Yes,3,Graduate,Yes,2980,9619,247,120,1,Rural,Rejected
292,Female,Yes,1,Graduate,No,4703,8325,131,240,0,Semiurban,Rejected
293,Male,Yes,1,Not Graduate,No,3294,7367,149,180,0,Semiurban,Rejected
294,Female,No,2,Not Graduate,No,12672,6835,483,180,0,Urban,Approved
295,Female,No,2,Not Graduate,No,8789,8233,107,180,0,Urban,Rejected
296,Male,Yes,1,Graduate,Yes,7445,9381,259,180,1,Rural,Approved
297,Female,No,0,Graduate,Yes,5621,4020,146,360,1,Urban,Approved
298,Male,Yes,0,Not Graduate,Yes,3155,1670,454,300,0,Urban,Approved
299,Male,Yes,1,Not Graduate,Yes,1808,6377,495,240,1,Semiurban,Rejected
300,Female,Yes,3,Not Graduate,Yes,14156,699,283,360,1,Urban,Approved
301,Male,No,0,Not Graduate,No,8707,2671,144,240,1,Rural,Approved
302,Male,Yes,3,Graduate,Yes,10985,4037,344,360,0,Semiurban,Approved
303,Male,Yes,2,Not Graduate,No,11418,7158,180,300,0,Semiurban,Approved
304,Male,Yes,3,Graduate,No,4426,9702,369,180,0,Rural,Rejected
305,Male,Yes,2,Graduate,No,9245,9575,282,180,1,Urban,Approved
306,Female,No,1,Not Graduate,Yes,12458,9928,352,360,1,Semiurban,Approved
307,Male,No,0,Not Graduate,No,9802,476,254,360,0,Semiurban,Rejected
308,Female,No,0,Graduate,No,11551,6609,204,300,0,Semiurban,Rejected
309,Male,Yes,3,Graduate,Yes,4080,7830,402,240,1,Rural,Approved
310,Male,No,1,Graduate,No,8324,1081,242,120,0,Semiurban,Rejected
311,Female,Yes,2,Graduate,No,14117,5543,80,240,1,Rural,Approved
312,Female,Yes,0,Not Graduate,Yes,6835,2910,149,180,0,Urban,Rejected
313,Male,No,1,Not Graduate,Yes,4905,452,385,180,1,Urban,Approved
314,Male,Yes,0,Not Graduate,Yes,9108,5394,55,300,0,Urban,Approved
315,Female,No,0,Graduate,Yes,1727,2314,241,180,1,Urban,Rejected
316,Female,No,1,Not Graduate,Yes,10545,4091,482,180,0,Urban,Approved
317,Male,Yes,2,Graduate,No,10276,2375,112,180,1,Rural,Approved
318,Female,Yes,2,Not Graduate,Yes,3233,978,53,240,1,Urban,Approved
319,Male,Yes,3,Graduate,Yes,6885,9343,425,360,0,Semiurban,Approved
320,Female,Yes,1,Graduate,Yes,4635,7049,473,240,0,Rural,Rejected
321,Female,No,3,Graduate,No,8520,6053,245,180,0,Urban,Approved
322,Male,Yes,1,Not Graduate,No,8451,9826,98,180,1,Urban,Approved
323,Male,No,1,Graduate,No,5413,8148,316,180,0,Urban,Rejected
324,Male,Yes,0,Not Graduate,Yes,7401,5093,483,180,0,Semiurban,Approved
325,Male,Yes,0,Not Graduate,No,7210,8977,129,180,1,Urban,Approved
326,Female,No,2,Graduate,Yes,5893,7474,471,120,0,Semiurban,Approved
327,Male,Yes,3,Not Graduate,Yes,6842,9070,484,180,1,Rural,Approved
328,Female,Yes,3,Not Graduate,Yes,1954,7254,288,120,1,Rural,Approved
329,Male,Yes,0,Graduate,No,7480,2493,124,300,0,Rural,Rejected
330,Male,No,0,Not Graduate,Yes,4849,5904,192,300,0,Rural,Rejected
331,Female,No,1,Not Graduate,No,14179,8791,411,360,0,Urban,Approved
332,Male,Yes,1,Not Graduate,Yes,8510,552,134,180,0,Rural,Approved
333,Female,Yes,1,Graduate,No,12561,5676,482,360,0,Rural,Rejected
334,Male,No,0,Not Graduate,Yes,4165,8268,441,360,1,Semiurban,Approved
335,Male,Yes,1,Not Graduate,Yes,12772,4642,355,300,1,Urban,Approved
336,Male,No,0,Not Graduate,No,10532,2513,147,180,1,Urban,Approved
337,Female,Yes,0,Graduate,Yes,11157,5484,53,120,1,Urban,Approved
338,Male,No,2,Not Graduate,No,13012,8972,180,180,1,Semiurban,Approved
339,Female,No,3,Not Graduate,No,6298,5727,249,180,1,Semiurban,Approved
340,Female,Yes,1,Not Graduate,Yes,6135,5850,101,360,1,Urban,Approved
341,Female,No,1,Graduate,Yes,5935,932,374,360,1,Rural,Approved
342,Male,Yes,1,Graduate,Yes,3218,6212,74,180,1,Urban,Approved
343,Female,Yes,1,Graduate,Yes,14502,4339,443,360,1,Urban,Approved
344,Male,No,3,Graduate,Yes,7750,4993,273,180,1,Urban,Approved
345,Male,No,2,Graduate,Yes,4135,3223,160,240,1,Semiurban,Approved
346,Female,No,3,Not Graduate,No,9869,7271,170,120,0,Urban,Approved
